Group,Participant,percLead,percDom,percComp,percLiking
18,M,2.83,2.67,4.17,4.58
18,N,3.25,3.25,3.92,4.17
19,K,2.75,2.75,3.75,4.25
19,L,3.75,3.08,4,4.58
19,M,3.25,3.33,3.75,4.25
19,N,3.58,3.08,3.81,4.58
20,K,2.75,2.33,3.64,4.5
20,L,4.25,4.58,3.42,4.42
20,M,2.5,2.42,3.17,4.33
20,N,3.92,4.25,4.33,4.67
21,K,2.83,1.83,4,5
21,L,2.83,2.25,3.92,4.92
21,M,2.31,2.33,3.83,4.92
21,N,2.33,2,4.08,4.83
22,K,3.5,3.08,3.5,3.83
22,L,2.92,2.58,3.5,4.17
22,M,2.92,2.42,3.17,4.25
22,N,3.17,3.25,3.17,3.42
23,K,3,2.63,3.5,4.5
23,L,4.38,4,3.63,3.88
23,M,3.25,1.88,3.5,3.88
24,N,3.33,2.58,3,4.58
24,K,3.17,1.81,3.83,4.33
24,L,4.33,3.75,3.19,4.17
24,M,2.75,2.67,3.25,4
25,N,3.42,3.42,4,4.17
25,K,2.33,1.5,3.08,3.92
25,L,2.83,2.33,3.25,4.58
25,M,3.67,3,3.5,4.17
26,N,3.5,3.33,3.92,4.58
26,K,3.08,2.75,3.5,4.25
26,L,3.67,2.92,4,4
26,M,3.25,2.67,3.83,4.67
27,N,3.5,3.08,3.5,4.25
27,K,3.75,3.25,3.83,3.17
27,L,3.58,2.92,4.08,4.67
27,M,4,4,3.58,4.08
28,N,3.08,2.75,3.08,4.58
28,K,3.17,3.08,3.25,4.42
28,L,2.92,3.08,3.42,4
28,M,2.67,3,3.33,3.42
29,N,3,2.83,4.08,4.33
29,K,3.17,3.25,3.58,4.08
29,L,2.5,2.5,3.33,4.5
29,M,3.42,3.5,3.25,3.75
30,N,3.08,2.58,4,4.33
30,K,3.42,3.42,3.83,4.17
30,L,3.25,2.67,3.25,3.83
30,M,3.5,2.92,3.69,3.83
31,N,2.25,2,3.17,4.25
31,K,3.25,3.42,3.5,3.75
31,L,4.13,4,3.5,3
31,M,3.13,2.81,3.5,3.94
32,N,2.75,2.25,3.5,4.75
32,K,3.75,2.38,3.5,4.38
32,L,3.75,2.88,4,4.63
33,M,4.17,3.83,4.17,4.17
33,N,3.5,3.42,4.42,4.42
33,K,2.58,2.67,4.25,4.67
33,L,3.92,3.58,2.83,2.75
34,M,3.08,2.58,3.42,4.42
34,N,2.08,1.83,3.33,4.5
34,K,3,2.5,3.42,4.42
34,L,4.75,4.83,3.25,3.58
35,M,3.75,3.88,3.88,4.13
35,N,2.25,2.13,3.13,4.38
35,K,3.75,3.88,4.5,4.38
36,L,3.88,3,3.38,4.13
36,M,3.5,3,4.25,4.88
36,N,3,2.88,4,4.25
37,K,3.25,3,4.25,4.25
37,L,3.5,3.5,4.17,4.25
37,M,3.42,3.5,3.58,4.58
37,N,3,2.75,4.08,4.33
38,K,2.58,2,3.92,4.67
38,L,3.75,3.25,4,4.5
38,M,3.92,3.58,4.17,4.5
38,N,1.5,1.75,3.25,4.25
39,K,2.83,2.67,3.58,4.5
39,L,3.17,2.92,3.67,3.42
39,M,3.5,3.17,3.83,4.17
39,N,2.42,2.17,3.17,3.83
40,K,3.17,2.83,4.17,4.5
40,L,3.67,3.5,3.33,4.33
40,M,3.67,3.67,3.83,4.67
40,N,2.08,2.17,4.08,4.67
