		IndividualRanking													GroupRanking												
15	K	6	11	8	7	3	12	9	4	2	10	1	5	66	7	3	8	9	12	4	6	10	11	2	1	5	54
15	L	3	8	10	9	7	2	4	6	1	12	5	11	48	7	3	8	9	12	4	6	10	11	2	1	5	54
15	M	9	12	7	8	4	10	11	6	1	3	2	5	46	7	3	8	9	12	4	6	10	11	2	1	5	54
16	K	7	3	10	1	4	8	9	11	12	6	2	5	48	3	7	9	10	5	2	4	6	8	12	11	1	46
16	L	3	7	4	8	6	10	5	9	1	11	2	12	56	3	7	9	10	5	2	4	6	8	12	11	1	46
16	M	8	11	5	6	9	4	10	12	2	7	3	1	38	3	7	9	10	5	2	4	6	8	12	11	1	46
16	N	3	9	11	12	4	5	7	2	10	6	8	1	54	3	7	9	10	5	2	4	6	8	12	11	1	46
17	K	3	7	8	4	9	10	1	11	12	6	2	5	52	6	11	4	12	8	9	7	10	3	2	1	5	58
17	L	8	11	12	3	6	9	4	10	7	1	2	5	60	6	11	4	12	8	9	7	10	3	2	1	5	58
17	M	4	8	6	2	12	9	10	1	5	3	11	7	44	6	11	4	12	8	9	7	10	3	2	1	5	58
18	K	9	7	3	12	5	8	4	6	10	11	2	1	48	9	3	7	12	8	2	4	6	5	11	10	1	52
18	L	9	3	7	12	8	4	6	10	11	2	1	5	52	9	3	7	12	8	2	4	6	5	11	10	1	52
18	M	5	9	4	8	7	3	6	2	11	12	10	1	40	9	3	7	12	8	2	4	6	5	11	10	1	52
18	N	3	7	9	2	10	8	4	12	11	6	1	5	50	9	3	7	12	8	2	4	6	5	11	10	1	52
19	K	6	5	2	3	9	10	11	1	8	7	4	12	50	9	7	3	5	10	4	11	12	6	1	8	2	46
19	L	7	9	5	12	4	8	1	11	2	3	10	6	38	9	7	3	5	10	4	11	12	6	1	8	2	46
19	M	9	4	7	3	6	8	10	1	11	12	2	5	54	9	7	3	5	10	4	11	12	6	1	8	2	46
19	N	9	3	7	12	5	2	10	8	6	4	1	11	50	9	7	3	5	10	4	11	12	6	1	8	2	46
20	K	3	9	6	4	8	2	12	10	7	11	1	5	48	3	9	2	11	8	12	6	7	5	4	10	1	58
20	L	3	9	12	8	6	10	5	4	7	11	2	1	46	3	9	2	11	8	12	6	7	5	4	10	1	58
20	M	9	8	12	6	3	2	11	4	10	1	7	5	52	3	9	2	11	8	12	6	7	5	4	10	1	58
20	N	3	9	8	5	6	4	7	2	11	10	12	1	46	3	9	2	11	8	12	6	7	5	4	10	1	58
21	K	7	3	8	6	4	10	11	9	1	12	2	5	62	3	7	4	8	9	2	12	6	5	10	1	11	54
21	L	4	7	3	9	2	12	8	10	5	6	1	11	54	3	7	4	8	9	2	12	6	5	10	1	11	54
21	M	8	10	11	5	2	9	6	4	3	1	7	12	42	3	7	4	8	9	2	12	6	5	10	1	11	54
21	N	3	7	4	12	9	8	11	10	6	1	5	2	58	3	7	4	8	9	2	12	6	5	10	1	11	54
22	K	7	3	6	4	8	1	2	5	12	10	9	11	58	8	9	7	3	4	6	2	5	11	12	10	1	54
22	L	9	2	8	7	3	12	10	4	11	6	5	1	52	8	9	7	3	4	6	2	5	11	12	10	1	54
22	M	1	5	8	12	7	3	2	4	11	10	9	6	40	8	9	7	3	4	6	2	5	11	12	10	1	54
22	N	9	10	12	8	5	3	7	11	2	6	4	1	43	8	9	7	3	4	6	2	5	11	12	10	1	54
23	K	4	8	3	7	10	11	12	9	1	2	6	5	56	8	9	3	4	7	11	12	10	2	1	6	5	52
23	L	8	9	5	2	7	3	4	10	11	12	1	6	44	8	9	3	4	7	11	12	10	2	1	6	5	52
23	M	12	10	3	7	6	4	9	11	8	1	2	5	54	8	9	3	4	7	11	12	10	2	1	6	5	52
24	K	8	4	5	11	2	1	9	6	12	10	7	3	36	7	3	4	10	12	8	6	1	9	11	2	5	54
24	L	7	3	12	9	5	10	11	6	8	4	1	2	56	7	3	4	10	12	8	6	1	9	11	2	5	54
24	M	7	3	4	10	12	8	6	1	9	11	2	5	54	7	3	4	10	12	8	6	1	9	11	2	5	54
24	N	3	9	11	6	1	5	8	10	2	12	4	7	48	7	3	4	10	12	8	6	1	9	11	2	5	54
25	K	9	7	5	11	4	12	2	3	6	8	10	1	48	3	9	5	11	4	2	10	12	8	6	7	1	42
25	L	9	3	7	5	4	2	1	6	8	10	12	11	48	3	9	5	11	4	2	10	12	8	6	7	1	42
25	M	3	9	10	8	4	11	7	5	1	6	2	12	46	3	9	5	11	4	2	10	12	8	6	7	1	42
25	N	3	7	9	5	10	12	4	8	1	6	11	2	42	3	9	5	11	4	2	10	12	8	6	7	1	42
26	K	4	3	1	8	7	6	9	12	11	10	5	2	52	3	7	8	5	2	9	12	4	1	10	6	11	50
26	L	3	7	8	12	9	4	1	10	6	11	5	2	50	3	7	8	5	2	9	12	4	1	10	6	11	50
26	M	7	3	9	12	5	2	4	8	6	10	11	1	50	3	7	8	5	2	9	12	4	1	10	6	11	50
26	N	8	11	9	12	4	2	1	10	6	7	3	5	40	3	7	8	5	2	9	12	4	1	10	6	11	50
27	K	12	8	2	6	4	8	5	2	11	12	10	1	54	9	3	8	7	6	11	4	12	2	1	10	5	58
27	L	6	3	8	4	11	7	1	10	9	5	2	12	64	9	3	8	7	6	11	4	12	2	1	10	5	58
27	M	9	8	2	3	12	6	7	4	10	1	11	5	54	9	3	8	7	6	11	4	12	2	1	10	5	58
27	N	3	9	6	4	7	8	11	12	10	1	5	2	58	9	3	8	7	6	11	4	12	2	1	10	5	58
28	K	12	10	3	8	11	6	4	7	1	2	5	9	58	12	7	3	10	11	4	8	9	6	1	2	5	58
28	L	12	11	10	3	4	7	9	8	5	6	1	2	58	12	7	3	10	11	4	8	9	6	1	2	5	58
28	M	7	3	9	10	12	1	11	4	8	6	5	2	58	12	7	3	10	11	4	8	9	6	1	2	5	58
28	N	3	7	12	8	6	4	10	9	2	11	1	5	50	12	7	3	10	11	4	8	9	6	1	2	5	58
29	K	5	2	11	4	3	8	9	12	7	6	10	1	48	9	3	8	1	4	2	11	5	6	12	10	7	40
29	L	7	3	9	8	1	6	4	2	5	10	12	11	48	9	3	8	1	4	2	11	5	6	12	10	7	40
29	M	3	8	9	11	12	2	5	1	4	7	10	6	50	9	3	8	1	4	2	11	5	6	12	10	7	40
29	N	9	3	7	6	4	8	1	10	11	12	2	5	54	9	3	8	1	4	2	11	5	6	12	10	7	40
30	K	8	4	7	6	11	10	12	2	3	5	1	9	58	8	4	5	7	11	10	3	6	9	12	1	2	52
30	L	9	8	5	4	7	3	10	2	6	1	12	11	38	8	4	5	7	11	10	3	6	9	12	1	2	52
30	M	7	3	9	4	5	8	11	6	10	1	12	2	52	8	4	5	7	11	10	3	6	9	12	1	2	52
30	N	4	3	11	10	12	5	7	2	6	1	8	9	56	8	4	5	7	11	10	3	6	9	12	1	2	52
31	K	9	12	10	4	6	3	7	8	1	11	5	2	48	9	6	8	4	10	5	2	12	11	1	3	7	33
31	L	9	3	8	6	5	10	7	12	4	2	7	1	46	9	6	8	4	10	5	2	12	11	1	3	7	33
31	M	1	9	6	8	5	4	2	10	7	12	3	11	35	9	6	8	4	10	5	2	12	11	1	3	7	33
31	N	4	10	6	5	12	8	3	7	1	2	1	11	46	9	6	8	4	10	5	2	12	11	1	3	7	33
32	K	1	7	3	12	4	9	6	10	5	8	11	2	50	9	7	3	4	6	12	8	1	10	11	2	5	54
32	L	9	7	3	4	8	1	6	10	11	12	2	5	50	9	7	3	4	6	12	8	1	10	11	2	5	54
32	M	9	3	7	4	6	12	8	11	10	5	2	1	58	9	7	3	4	6	12	8	1	10	11	2	5	54
33	K	9	10	8	12	7	4	2	3	1	11	6	5	40	9	8	12	10	11	5	4	2	3	7	6	1	34
33	L	9	11	5	7	3	12	8	2	4	1	6	10	50	9	8	12	10	11	5	4	2	3	7	6	1	34
33	M	8	6	3	11	12	9	4	2	10	1	5	7	56	9	8	12	10	11	5	4	2	3	7	6	1	34
33	N	9	7	3	10	12	8	1	4	6	2	11	5	44	9	8	12	10	11	5	4	2	3	7	6	1	34
34	K	7	3	9	4	8	6	11	10	12	1	2	5	54	4	1	10	8	3	11	2	6	7	9	12	5	44
34	L	12	7	3	6	4	9	2	1	8	2	11	5	60	4	1	10	8	3	11	2	6	7	9	12	5	44
34	M	3	6	8	2	11	4	9	10	12	1	7	5	58	4	1	10	8	3	11	2	6	7	9	12	5	44
34	N	4	11	10	1	8	2	3	6	5	7	12	9	46	4	1	10	8	3	11	2	6	7	9	12	5	44
35	K	4	9	5	3	6	3	8	11	12	10	7	1	44	9	5	2	1	8	4	6	10	12	3	11	7	22
35	L	9	3	7	6	8	4	2	1	12	10	5	11	52	9	5	2	1	8	4	6	10	12	3	11	7	22
35	M	8	9	5	2	1	4	10	6	12	11	3	7	22	9	5	2	1	8	4	6	10	12	3	11	7	22
36	K	7	3	6	5	2	4	12	11	8	10	9	1	62	12	8	6	11	5	2	10	4	9	3	7	1	50
36	L	12	8	6	10	4	9	2	11	1	7	5	3	40	12	8	6	11	5	2	10	4	9	3	7	1	50
36	M	9	11	5	3	12	8	4	2	1	7	10	6	42	12	8	6	11	5	2	10	4	9	3	7	1	50
37	K	9	11	2	5	3	10	12	8	6	4	7	1	44	9	8	12	3	6	10	11	4	2	1	5	7	48
37	L	9	12	3	10	3	4	11	2	6	1	7	5	38	9	8	12	3	6	10	11	4	2	1	5	7	48
37	M	8	9	12	6	4	3	10	7	1	2	5	11	48	9	8	12	3	6	10	11	4	2	1	5	7	48
37	N	9	2	4	5	3	6	2	7	1	12	10	11	44	9	8	12	3	6	10	11	4	2	1	5	7	48
38	K	9	3	4	12	11	8	6	10	2	7	1	5	52	3	7	5	9	11	10	12	2	8	4	6	1	50
38	L	3	7	10	11	2	6	9	8	4	1	5	12	66	3	7	5	9	11	10	12	2	8	4	6	1	50
38	M	7	3	12	10	8	4	2	6	5	1	9	11	52	3	7	5	9	11	10	12	2	8	4	6	1	50
38	N	9	8	10	3	12	6	4	11	7	1	5	2	46	3	7	5	9	11	10	12	2	8	4	6	1	50
39	K	4	10	8	1	12	3	7	6	2	5	9	11	44	3	8	10	9	7	12	6	5	2	11	4	1	48
39	L	9	8	7	10	4	6	3	12	11	1	2	5	46	3	8	10	9	7	12	6	5	2	11	4	1	48
39	M	3	8	9	2	5	12	6	1	7	10	4	11	46	3	8	10	9	7	12	6	5	2	11	4	1	48
39	N	3	7	10	11	6	9	12	4	5	2	1	8	57	3	8	10	9	7	12	6	5	2	11	4	1	48
40	K	9	8	10	12	6	5	2	4	1	11	3	7	30	9	2	3	12	10	11	7	6	8	4	5	1	58
40	L	3	7	12	9	8	2	6	4	10	1	11	5	56	9	2	3	12	10	11	7	6	8	4	5	1	58
40	M	2	9	8	12	6	4	11	10	1	5	7	3	40	9	2	3	12	10	11	7	6	8	4	5	1	58
40	N	9	8	6	5	2	4	3	12	10	11	1	7	38	9	2	3	12	10	11	7	6	8	4	5	1	58
